filename,tags
images/animal25.jpeg,animal|big|elephant
images/animal3.jpeg,animal|pet|cat|fluffy|meow
images/animal26.jpeg,animal|fish|swim
images/animal24.jpeg,animal|pet|dog
images/vehicle1.jpeg,vehicle|car|sedan
images/animal1.jpeg,bug|small|spider
images/animal27.jpeg,animal|mammal|fluffy|rabbit
Images/animal2.jpeg,animal|reptile|snake
images/food6.jpeg,watermelon|fruit|food|seeds
images/food3.jpeg,breakfast|eggs|bacon|food
images/vehicle10.jpeg,ambulance|vehicle|emergency
images/vehicle11.jpeg,firetruck|vehicle
images/food4.jpeg,icecream|food|cold
images/food5.jpeg,pizza|food|cheese
Images/animal21.jpeg,ant|bug|animal|insect
Images/animal22.jpeg,hippo|mammal|big
Images/food1.jpeg,corn|food
Images/food2.jpeg,fruit|apple|red
Images/animal23.jpeg,rhino|mammal|big
Images/animal19.jpeg,dog|pet|brown
Images/plant4.jpeg,tree|plant|green
Images/plant5.jpeg,tree|plant|green
Images/plant6.jpeg,tree|plant|green|grass
Images/plant7.jpeg,flower|plant|yellow
Images/animal20.jpeg,big|huge|whale|mammal|animal|ocean
Images/animal14.jpeg,bird|red
Images/animal15.jpeg,owl|bird
Images/animal16.jpeg,duck|bird|white
Images/animal17.jpeg,hamster|pet|fluffy
Images/animal18.jpeg,fish|animal|swim
Images/animal7.jpeg,giraffe|mammal|tall|animal
Images/animal8.jpeg,elephant|mammal|huge|animal
Images/animal9.jpeg,bug|animal|insect|ant
Images/animal10.jpeg,bird|small|animal
Images/animal11.jpeg,bird|blue|animal
Images/animal12.jpeg,dog|mammal|pet|fluffy
Images/vehicle3.jpeg,car|sportscar|vehicle
Images/plant2.jpeg,tree|plant
Images/vehicle4.jpeg,airplane|vehicle
Images/plant3.jpeg,plant|tree
Images/vehicle2.jpeg,schoolbus|bus|vehicle
Images/animal4.jpeg,tortoise|animal|reptile
Images/vehicle5.jpeg,monstertruck|vehicle|big
Images/utensil1.jpeg,spoon|utensil|silverware
Images/utensil2.jpeg,fork|utensil|silverware|pointy
Images/kitchen3.jpeg,knife|utensil|kitchen|sharp|pointy|cooking
Images/animal5.jpeg,animal|dolphin|ocean
Images/animal6.jpeg,animal|shark|ocean|fish
Images/furniture1.jpeg,furniture|chair
Images/vehicle6.jpeg,airplane|jet|fast|vehicle
Images/vehicle7.jpeg,train|rail|vehicle
Images/vehicle8.jpeg,garbage truck|vehicle
Images/vehicle9.jpeg,excavator|vehicle|construction
Images/kitchen1.jpeg,kitchen|cooking|hot
Images/furniture2.jpeg,table|furniture
Images/plant1.jpeg,tree|sapling